45261 3
1.93120e+00	-7.84276e+01	-7.83918e+01	
1.95000e+00	-7.88276e+01	-7.79699e+01	
1.96880e+00	-7.87994e+01	-7.81043e+01	
1.98750e+00	-7.86776e+01	-7.85481e+01	
2.00620e+00	-7.82713e+01	-7.82449e+01	
2.02500e+00	-7.84807e+01	-7.84387e+01	
2.04370e+00	-7.84682e+01	-7.82449e+01	
2.06250e+00	-7.86776e+01	-7.87106e+01	
2.08120e+00	-7.86088e+01	-7.86793e+01	
2.10000e+00	-7.86432e+01	-7.89606e+01	
2.11870e+00	-7.86088e+01	-7.84449e+01	
2.13750e+00	-7.86776e+01	-7.86824e+01	
2.15620e+00	-7.84526e+01	-7.86199e+01	
2.17500e+00	-7.86244e+01	-7.88387e+01	
2.19370e+00	-7.83119e+01	-7.80074e+01	
2.21250e+00	-7.85869e+01	-7.83012e+01	
2.23120e+00	-7.85119e+01	-7.79543e+01	
2.25000e+00	-7.87338e+01	-7.83949e+01	
2.26870e+00	-7.84776e+01	-7.82606e+01	
2.28750e+00	-7.85307e+01	-7.85199e+01	
2.30620e+00	-7.87682e+01	-7.85356e+01	
2.32500e+00	-7.85869e+01	-7.83856e+01	
2.34380e+00	-7.81151e+01	-7.78168e+01	
2.36250e+00	-7.83526e+01	-7.84731e+01	
2.38120e+00	-7.89213e+01	-7.81856e+01	
2.40000e+00	-7.87588e+01	-7.84387e+01	
2.41870e+00	-7.83182e+01	-7.84387e+01	
2.43750e+00	-7.87276e+01	-7.86824e+01	
2.45620e+00	-7.84401e+01	-7.84606e+01	
2.47500e+00	-7.85776e+01	-7.86449e+01	
2.49370e+00	-7.87744e+01	-7.89512e+01	
2.51250e+00	-7.82119e+01	-7.89418e+01	
2.53120e+00	-7.85901e+01	-7.84106e+01	
2.55000e+00	-7.85776e+01	-7.84637e+01	
2.56870e+00	-7.83776e+01	-7.83574e+01	
2.58750e+00	-7.84776e+01	-7.86887e+01	
2.60620e+00	-7.86588e+01	-7.83387e+01	
2.62500e+00	-7.86369e+01	-7.84199e+01	
2.64370e+00	-7.86369e+01	-7.81137e+01	
2.66250e+00	-7.85432e+01	-7.86137e+01	
2.68120e+00	-7.85526e+01	-7.87731e+01	
2.70000e+00	-7.85994e+01	-7.87512e+01	
2.71880e+00	-7.84619e+01	-7.87074e+01	
2.73750e+00	-7.84776e+01	-7.88449e+01	
2.75620e+00	-7.87307e+01	-7.88637e+01	
2.77500e+00	-7.83276e+01	-7.84949e+01	
2.79370e+00	-7.87557e+01	-7.84043e+01	
2.81250e+00	-7.91213e+01	-7.85793e+01	
2.83120e+00	-7.88963e+01	-7.88512e+01	
2.85000e+00	-7.82026e+01	-7.89887e+01	
2.86870e+00	-7.82338e+01	-7.87887e+01	
2.88750e+00	-7.84088e+01	-7.83106e+01	
2.90620e+00	-7.89432e+01	-7.85637e+01	
