5000 5
0.01	-78.500695	-78.611805	-78.500695	-78.611805
0.02	-78.453820	-78.630555	-78.453820	-78.630555
0.03	-78.628820	-78.846180	-78.628820	-78.846180
0.04	-78.472570	-78.730555	-78.472570	-78.730555
0.05	-78.341320	-78.214930	-78.341320	-78.214930
0.06	-78.725695	-78.114930	-78.725695	-78.114930
0.07	-78.825695	-78.277430	-78.825695	-78.277430
0.08	-78.425695	-78.143055	-78.425695	-78.143055
0.09	-78.344445	-78.171180	-78.344445	-78.171180
0.10	-78.572570	-78.474305	-78.572570	-78.474305
0.11	-78.788195	-78.827430	-78.788195	-78.827430
0.12	-78.503820	-78.661805	-78.503820	-78.661805
0.13	-78.275695	-78.414930	-78.275695	-78.414930
0.14	-78.381945	-78.586805	-78.381945	-78.586805
0.15	-78.453820	-78.724305	-78.453820	-78.724305
0.16	-78.300695	-78.493055	-78.300695	-78.493055
0.17	-78.731945	-78.499305	-78.731945	-78.499305
0.18	-78.960070	-78.946180	-78.960070	-78.946180
0.19	-78.841320	-78.830555	-78.841320	-78.830555
0.20	-78.347570	-78.483680	-78.347570	-78.483680
0.21	-78.385070	-78.371180	-78.385070	-78.371180
0.22	-78.506945	-78.414930	-78.506945	-78.414930
0.23	-78.553820	-78.255555	-78.553820	-78.255555
0.24	-78.550695	-78.174305	-78.550695	-78.174305
0.25	-78.806945	-78.396180	-78.806945	-78.396180
0.26	-79.019445	-78.630555	-79.019445	-78.630555
0.27	-78.835070	-78.443055	-78.835070	-78.443055
0.28	-78.603820	-78.196180	-78.603820	-78.196180
0.29	-78.531945	-78.449305	-78.531945	-78.449305
0.30	-78.306945	-78.746180	-78.306945	-78.746180
0.31	-78.394445	-78.839930	-78.394445	-78.839930
0.32	-78.822570	-78.764930	-78.822570	-78.764930
0.33	-78.888195	-78.474305	-78.888195	-78.474305
0.34	-78.635070	-78.180555	-78.635070	-78.180555
0.35	-78.188195	-78.096180	-78.188195	-78.096180
0.36	-78.269445	-78.427430	-78.269445	-78.427430
0.37	-78.628820	-78.711805	-78.628820	-78.711805
0.38	-78.494445	-78.646180	-78.494445	-78.646180
0.39	-78.338195	-78.714930	-78.338195	-78.714930
0.40	-78.453820	-78.768055	-78.453820	-78.768055
0.41	-78.653820	-78.768055	-78.653820	-78.768055
0.42	-78.435070	-78.555555	-78.435070	-78.555555
0.43	-78.441320	-78.736805	-78.441320	-78.736805
